legacy_id,donor_name,gift_date,gift_amount,gift_type,notes,migrated_date,data_source
30000,Marie Walsh,2021-06-14,16.99,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30001,Marie Walsh,2022-03-24,11.99,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30002,Marie Walsh,2021-07-17,18.2,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30003,Marie W.,2019-11-01,27.06,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30004,Marie Walsh,2020-04-22,14.62,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30005,Matthew Burgess,2021-01-08,94.32,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30006,"Burgess, Matthew",2022-09-28,1.84,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30007,K. Morgan,2022-10-03,1.83,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30008,Denis Fuller,2018-08-21,15.8,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30009,Denis F.,2018-12-10,10.69,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30010,Denis Fuller,2018-09-13,7.49,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30011,"Fuller, Denis",2018-08-09,44.19,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30012,C. Akhtar,2020-07-06,12.92,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30013,Clive A.,2021-10-12,14.8,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30014,Clive Akhtar,2018-08-21,43.36,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30015,Clive Akhtar,2018-01-01,36.84,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30016,"Akhtar, Clive",2018-09-21,42.56,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30017,"Green, Jacob",2020-02-23,40.75,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30018,"Parkin, Leon",2022-01-24,15.24,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30019,Andrea Read,2022-12-13,60.61,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30020,Victor B.,2020-08-11,4.26,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30021,"Ball, Victor",2019-11-06,26.53,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30022,Victor Ball,2020-03-17,5.28,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30023,"Ball, Victor",2022-02-06,12.05,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30024,V. Ball,2018-10-23,51.92,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30025,Jasmine T.,2018-07-26,12.51,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30026,"Taylor, Jasmine",2019-07-04,33.91,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30027,Kyle Cook,2021-07-01,45.47,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30028,K. Cook,2021-07-19,74.54,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30029,"Cook, Kyle",2019-08-24,24.25,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30030,Eleanor B.,2018-12-05,20.55,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30031,John K.,2022-06-06,49.35,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30032,Mitchell Ahmed,2019-06-16,12.05,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30033,G. Phillips,2021-10-21,270.34,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30034,"Smith, Sandra",2022-01-04,11.14,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30035,Sandra Smith,2021-10-20,51.29,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30036,S. Smith,2018-03-22,27.64,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30037,Victoria Peacock,2022-01-29,39.57,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30038,"Peacock, Victoria",2022-04-25,16.17,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30039,Victoria Peacock,2022-06-17,22.14,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30040,Andrew H.,2022-09-13,24.56,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30041,"Harrison, Andrew",2018-03-25,43.95,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30042,Andrew H.,2020-04-27,5.53,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30043,Andrew Harrison,2019-07-23,9.18,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30044,"Barnes, Duncan",2021-07-31,19.91,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30045,D. Barnes,2021-01-15,17.05,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30046,D. Barnes,2018-10-25,13.12,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30047,Duncan B.,2020-02-22,3.96,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30048,"Barnes, Duncan",2021-10-01,21.65,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30049,Jeffrey H.,2021-07-09,48.08,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30050,Jeffrey H.,2019-06-26,41.12,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30051,Leonard Johnson,2020-02-03,262.05,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30052,"Nicholls, Ryan",2020-03-25,88.34,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30053,Antony Ahmed,2019-12-22,16.81,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30054,A. Ahmed,2022-05-05,13.56,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30055,Antony A.,2021-06-02,9.85,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30056,Antony A.,2019-06-19,36.75,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30057,Lindsey W.,2018-11-13,5.64,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30058,L. Willis,2020-02-10,35.53,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30059,L. Willis,2022-09-18,14.94,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30060,Brett A.,2022-12-27,7.95,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30061,Brett A.,2020-08-23,308.0,Major Gift,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30062,Brett A.,2019-12-24,73.79,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30063,B. Adams,2018-10-12,8.16,Regular,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30064,B. Adams,2021-03-13,12.61,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
30065,Martyn H.,2020-06-29,144.35,One-off,Migrated from legacy system on 2023-01-01,2023-01-01,Legacy System
